trialID	trialType	cond	animacy	Target	Contrast	Competitor	Distractor	audio
filler2004	filler_filler	pair	animate	dog_big	chair_yellow	butterfly_small	butterfly_big	dog
filler2005	filler_filler	pair	animate	horse_small	ball_black	pepper_big	pepper_small	horse
filler2006	filler_filler	pair	inanimate	stone_black	bucket_red	bird_green	bird_white	stone
filler2007	filler_filler	pair	inanimate	comb_red	eyes_green	dog_black	dog_white	comb
filler2008	filler_filler	pair	inanimate	pencil_white	shirt_blue	pants_green	pants_red	pencil
filler2009	filler_filler	pair	inanimate	cup_green	bowl_white	chair_blue	chair_red	cup
filler2010	filler_filler	pair	inanimate	bucket_green	shoes_red	eggs_blue	eggs_white	bucket
filler2011	filler_filler	no_pair	inanimate	towel_white	pot_yellow	cup_red	fish_green	towel
filler2012	filler_filler	no_pair	inanimate	flower_green	stone_yellow	bucket_black	pot_blue	flower
filler2013	filler_filler	no_pair	animate	monkey_small	shirt_green	book_red	ball_black	monkey
filler2014	filler_filler	no_pair	animate	fish_green	bucket_green	car_black	pot_blue	fish
filler2015	filler_filler	no_pair	inanimate	pepper_small	bowl_white	pot_red	cup_blue	pepper
filler2016	filler_filler	no_pair	animate	frog_big	monkey_white	pencil_big	apple_small	frog
filler2017	filler_filler	no_pair	animate	butterfly_small	cup_blue	shoes_small	pants_small	butterfly
filler2018	filler_filler	no_pair	inanimate	car_big	monkey_black	dog_small	shirt_big	car
filler2019	filler_filler	no_pair	inanimate	tomato_small	ball_red	cup_small	banana_small	tomato
filler2020	filler_filler	no_pair	inanimate	eggs_big	ball_yellow	fish_small	cup_small	eggs
